"시점","행정구역(시군구)별","성별",계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세 이상,80세,81세,82세,83세,84세,85세 이상,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
"2023","울산광역시","계",1103825,5116,5728.5,6260,6862,7575.5,8392.5,9545,10635.5,10993.5,10930.5,11405,11657.5,11357.5,11007.5,10927.5,11479,11054.5,10214.5,10348.5,10321,10148,10737.5,11956.5,12347,12174,12833.5,13392.5,13897.5,14114.5,14067.5,14171.5,14280,13716.5,13265,13169,12948.5,13129.5,13581,14123,15424.5,17424.5,18726,19113.5,18936,17469.5,16836.5,16934,16781,17804,18934.5,19425.5,20213.5,20772.5,20893,21516,21289,20366.5,20351,20151.5,18789.5,19123.5,20459.5,20352,19078,17337,16146.5,15007,14235.5,12968,11088,10497.5,9266.5,7990,7690,7439,7059.5,5826,4523,4331,4539,30852.5,4823.5,4344,3434.5,3125.5,2764.5,12360.5,2340,1969,1727,1486,1202.5,949,726.5,531.5,415,322,226.5,159,102.5,80,56,68
"2023","울산광역시","남자",566569.5,2589,2958,3181.5,3458.5,3861.5,4331.5,4979.5,5511.5,5674.5,5600.5,5843.5,6028.5,5913.5,5752,5699.5,5941,5731,5367.5,5480.5,5609.5,5705.5,6131.5,6730,6880,6871.5,7254.5,7715.5,7965,8000.5,7977.5,8002.5,7841,7490.5,7270.5,7186,6987.5,6998,7217,7387,7926.5,8921.5,9667.5,9893.5,9764.5,9123,8778.5,8736,8567.5,8947.5,9411,9617.5,10076.5,10305.5,10323,10646,10440,10320,10599,10390.5,9740,9957,10518.5,10246.5,9572.5,8765.5,8094.5,7460,6983.5,6402,5530.5,5160.5,4564,3950.5,3786,3650.5,3424.5,2778.5,2140.5,1925,1934.5,10405.5,2027.5,1755.5,1331.5,1159,963,3169,743.5,572,465,397,310.5,220,144,101.5,82,56.5,27.5,17.5,10,7.5,8.5,6
"2023","울산광역시","여자",537255.5,2527,2770.5,3078.5,3403.5,3714,4061,4565.5,5124,5319,5330,5561.5,5629,5444,5255.5,5228,5538,5323.5,4847,4868,4711.5,4442.5,4606,5226.5,5467,5302.5,5579,5677,5932.5,6114,6090,6169,6439,6226,5994.5,5983,5961,6131.5,6364,6736,7498,8503,9058.5,9220,9171.5,8346.5,8058,8198,8213.5,8856.5,9523.5,9808,10137,10467,10570,10870,10849,10046.5,9752,9761,9049.5,9166.5,9941,10105.5,9505.5,8571.5,8052,7547,7252,6566,5557.5,5337,4702.5,4039.5,3904,3788.5,3635,3047.5,2382.5,2406,2604.5,20447,2796,2588.5,2103,1966.5,1801.5,9191.5,1596.5,1397,1262,1089,892,729,582.5,430,333,265.5,199,141.5,92.5,72.5,47.5,62
"2023","세종특별자치시","계",384276.5,2869.5,3397,3633,3888.5,4303,4696.5,5159,5615,5675,5498.5,5724.5,5787,5552,5401,5245.5,5169.5,4803.5,4269.5,4046,3841,3586.5,3415,3546,3606,3524,3532,3688,4025.5,4401.5,4720,5095.5,5549.5,5538.5,5556.5,5837,6031.5,6237.5,6449.5,6653,7162,8092,8625,8490.5,8442.5,7723,7195,7204.5,6903.5,6956,6999.5,6658,6432.5,6256,5777.5,5508.5,5081.5,4507,4307,4296,4051.5,4058,4397,4412,4156,3752,3547.5,3384,3242.5,3009,2429,2279.5,2044,1767.5,1871.5,1733.5,1600,1387,1138.5,1104,1118.5,9609,1210,1199.5,966,896,838,4499.5,718.5,669.5,638,549,448.5,365.5,281.5,217,184,143.5,100.5,66,42,22.5,17,36.5
"2023","세종특별자치시","남자",191515,1435.5,1704,1827.5,1965,2195,2385.5,2628.5,2868,2908,2829,2922,2959,2850,2755,2605,2539,2392,2141.5,2013,1927.5,1866.5,1822,1878,1875.5,1807.5,1790,1836,2014,2196.5,2333,2532,2679.5,2662.5,2724,2901,2993.5,3070.5,3194,3289,3502,3892.5,4184.5,4172.5,4170.5,3818,3600,3608.5,3471.5,3566.5,3624.5,3527,3470.5,3332,3041,2881,2625,2319,2219.5,2200.5,2097.5,2082.5,2214,2195,2054.5,1865.5,1763.5,1663,1603,1472.5,1188,1096,989,869.5,905.5,838,758,641,517.5,478.5,473.5,3208,508,484,376,336,294,1210,234,215,190.5,157,122,79.5,56,48,34,24,18,12.5,8.5,4,1,6
"2023","세종특별자치시","여자",192761.5,1434,1693,1805.5,1923.5,2108,2311,2530.5,2747,2767,2669.5,2802.5,2828,2702,2646,2640.5,2630.5,2411.5,2128,2033,1913.5,1720,1593,1668,1730.5,1716.5,1742,1852,2011.5,2205,2387,2563.5,2870,2876,2832.5,2936,3038,3167,3255.5,3364,3660,4199.5,4440.5,4318,4272,3905,3595,3596,3432,3389.5,3375,3131,2962,2924,2736.5,2627.5,2456.5,2188,2087.5,2095.5,1954,1975.5,2183,2217,2101.5,1886.5,1784,1721,1639.5,1536.5,1241,1183.5,1055,898,966,895.5,842,746,621,625.5,645,6401,702,715.5,590,560,544,3289.5,484.5,454.5,447.5,392,326.5,286,225.5,169,150,119.5,82.5,53.5,33.5,18.5,16,30.5
"2023","경기도","계",13545542.5,71070,78360.5,81534,87571.5,95558,103196.5,114291,125824.5,129389.5,127916,134318.5,138832.5,135773.5,131753,130789,136295.5,132807,123357,125368.5,132689,133372,141031,159687.5,168335,169757,177297.5,181580,187227.5,192698,194061,197859.5,199023.5,188456,179192.5,178868.5,177961,178018.5,183641.5,188390.5,201343.5,223918,237061.5,238399,235198,217855,210040,214977.5,215151.5,226109.5,238079.5,242219.5,247782.5,248811.5,244082,241368,229325.5,213544,211850.5,213868.5,203826.5,205265,215609,216459.5,205444,186836.5,174784,161168,152909,141574,119390,115074.5,99260,82609,86703.5,86413.5,86664,78909,66213,61689.5,60868.5,473734.5,64908.5,62844.5,51839.5,46868.5,43113,204160.5,37600.5,32815,28681.5,24191.5,19040.5,15216,11853.5,9115.5,7383,5698.5,4132.5,2754,1837.5,1238.5,927,1675.5
"2023","경기도","남자",6811447,36545,40189,41492.5,44698,48931.5,53000.5,58597,64335,66128,65302.5,68661,70996,69499.5,67523.5,66991.5,69617,67838.5,63250.5,64273.5,68374,69289.5,73614.5,83395,87654,88311,92889,95783,99742,103305.5,104130,105561,105092.5,99159.5,93667.5,92833,91997.5,91644,94586.5,96676,103282.5,114761.5,121254,121881,119586.5,111204,106927,108854.5,109318,114638,120253,122429,125902.5,126097.5,122842.5,120259,113229.5,107594.5,108024.5,107853.5,103686.5,104730,108906,108295.5,102648,93614,87473,79740.5,74579,68858,57969.5,55358,47348.5,38818,40454,40222.5,39796.5,35654,29590,26853,25706,169379,27126.5,25782,20524.5,17973,16024.5,61948.5,13468,11257.5,9317.5,7519,5593,4190.5,3117,2211.5,1682.5,1216,788.5,505.5,321,228.5,204,328.5
"2023","경기도","여자",6734095.5,34525,38171.5,40041.5,42873.5,46626.5,50196,55694,61489.5,63261.5,62613.5,65657.5,67836.5,66274,64229.5,63797.5,66678.5,64968.5,60106.5,61095,64315,64082.5,67416.5,76292.5,80681,81446,84408.5,85797,87485.5,89392.5,89931,92298.5,93931,89296.5,85525,86035.5,85963.5,86374.5,89055,91714.5,98061,109156.5,115807.5,116518,115611.5,106651,103113,106123,105833.5,111471.5,117826.5,119790.5,121880,122714,121239.5,121109,116096,105949.5,103826,106015,100140,100535,106703,108164,102796,93222.5,87311,81427.5,78330,72716,61420.5,59716.5,51911.5,43791,46249.5,46191,46867.5,43255,36623,34836.5,35162.5,304355.5,37782,37062.5,31315,28895.5,27088.5,142212,24132.5,21557.5,19364,16672.5,13447.5,11025.5,8736.5,6904,5700.5,4482.5,3344,2248.5,1516.5,1010,723,1347
"2023","강원도","계",1526763,6938,7525.5,7905,8459.5,8817.5,9251.5,10189,11212,11542.5,11579.5,12468.5,13121,13002,12744,12631.5,13360,13372,12738.5,13280.5,13757,14394.5,15488,17163.5,17544,17048,16962,16877.5,16967,17095,16946.5,17107.5,16911,15895.5,15146,15054.5,15013,14955,15536,15993,17276.5,19673.5,20801.5,21051.5,20953.5,20083,19904.5,20427,20957,22719.5,24621.5,25189.5,25670,26261.5,26743.5,27570.5,26739.5,25656,25546,25637,25691.5,27385.5,30224,31263.5,30481.5,28844.5,28034,26378,24733.5,23304.5,19938.5,19866,16835,12542,13121,13618,14237,13350.5,12165.5,12073.5,11877,95323.5,12469,12224,10754,9863.5,9035.5,40977.5,7732,6539.5,5659.5,4698,3733.5,2938,2293.5,1874,1542,1201,881,608,412.5,286,223,356
